Fyers_Symbol,Stock Name,Company Name,Sector,Basic Industry,Market Cap(Cr.),Stock Price,No OF  SHARE,Circuit Limit
NSE:STARCEMENT-EQ,STARCEMENT,Star Cement Limited,Construction,Cement,8988,222.36,404209390.2,20
NSE:TSFINV-EQ,TSFINV,Sundaram Finance Holdings Limited,Financial Services,NBFC,9004,405.4,222101628,20
NSE:PNGJL-EQ,PNGJL,P N Gadgil Jewellers Limited,Consumer Durables,Jewellery,9070,667.65,135849621.8,10
NSE:VIYASH-EQ,VIYASH,Sequent Scientific Limited,Healthcare,Medical-Diversified,9071,208.25,435582232.9,20
NSE:LEMONTREE-EQ,LEMONTREE,Lemon Tree Hotels Limited,Consumer Services,Hotels,9073,114.55,792055870.8,20
NSE:PVRINOX-EQ,PVRINOX,PVR INOX Limited,Media Entertainment & Publication,Film Production & Distribution,9208,937.65,98202954.19,20
NSE:STAR-EQ,STAR,Strides Pharma Science Limited,Healthcare,Pharmaceuticals,9219,1000.25,92166958.26,20
NSE:GRWRHITECH-EQ,GRWRHITECH,Garware Hi-Tech Films Limited,Chemicals,Chemicals-Plastics,9247,3985.6,23201023.69,20
NSE:ELECON-EQ,ELECON,Elecon Engineering Company Limited,Capital Goods,Industrial Products & Manufacturing,9250,412.75,224106602.1,20
NSE:EUREKAFORB-EQ,EUREKAFORB,Eureka Forbes Limited,Consumer Durables,Household Appliances,9283,481.6,192753322.3,20
NSE:PCJEWELLER-EQ,PCJEWELLER,PC Jeweller Limited,Consumer Durables,Jewellery,9302,9.58,9709812109,20
NSE:KTKBANK-EQ,KTKBANK,The Karnataka Bank Limited,Financial Services,Private Banks,9307,246.23,377979937.5,20
NSE:QPOWER-EQ,QPOWER,Quality Power Electrical Equipments Limited,Capital Goods,Electrical - Power Equipment,9345,1206.05,77484349.74,20
NSE:JAYNECOIND-EQ,JAYNECOIND,Jayaswal Neco Industries Limited,Metals & Mining,Iron & Steel,9361,96.23,972773563.3,20
NSE:PARKHOSPS-EQ,PARKHOSPS,Park Medi World Limited,Healthcare,Hospitals,9396,216.47,434055527.3,10
NSE:LLOYDSENT-EQ,LLOYDSENT,Lloyds Enterprises Limited,Metals & Mining,Trading - Metals,9477,63.44,1493852459,20
NSE:BBOX-EQ,BBOX,Black Box Limited,Information Technology,Software Services,9533,541.25,176129330.3,20
NSE:CELLO-EQ,CELLO,Cello World Limited,Consumer Durables,Household Appliances,9543,431.55,221133124.8,20
NSE:TIMETECHNO-EQ,TIMETECHNO,Time Technoplast Limited,Chemicals,Chemicals-Plastics,9636,195.39,493167511.1,20
NSE:TARIL-EQ,TARIL,Transformers And Rectifiers (India) Limited,Capital Goods,Transformers,9668,322.3,299968973,20
NSE:INTELLECT-EQ,INTELLECT,Intellect Design Arena Limited,Financial Services,Financial Services-Specialty,9699,694.55,139644374.1,20
NSE:RKFORGE-EQ,RKFORGE,Ramkrishna Forgings Limited,Metals & Mining,Iron & Steel,9731,535.15,181836868.2,20
NSE:BATAINDIA-EQ,BATAINDIA,Bata India Limited,Consumer Durables,Footwear,9743,757.35,128645936.5,20
NSE:IIFLCAPS-EQ,IIFLCAPS,IIFL Capital Services Limited,Financial Services,Investment Banking & Broking,9760,313.44,311383358.9,20
NSE:METROPOLIS-EQ,METROPOLIS,Metropolis Healthcare Limited,Healthcare,Medical Diagnostics,9773,471.7,207186771.3,20
NSE:BALRAMCHIN-EQ,BALRAMCHIN,Balrampur Chini Mills Limited,FMCG,Sugar,9825,486,202160493.8,20
NSE:CORONA-EQ,CORONA,CORONA Remedies Limited,Healthcare,Pharmaceuticals,9909,1619.5,61185551.1,20
NSE:TITAGARH-EQ,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,Capital Goods,Railways,9983,741.05,134714256.8,20
NSE:SHARDACROP-EQ,SHARDACROP,Sharda Cropchem Limited,Chemicals,Agro chemicals,9996,1107.85,90228821.59,20
NSE:OLECTRA-EQ,OLECTRA,Olectra Greentech Limited,Auto,Auto Manufacturers,10061,1225.15,82120556.67,20
NSE:NAZARA-EQ,NAZARA,Nazara Technologies Limited,Information Technology,Software Services,10096,273.34,369356845,20
NSE:APOLLO-EQ,APOLLO,Apollo Micro Systems Limited,Capital Goods,Aerospace & Defense,10102,282.9,357087310,20
NSE:NCC-EQ,NCC,NCC Limited,Construction,Civil Construction,10115,161.26,627247922.6,20
